"";"interaction";"vac";"X";"ref";"rep";"year";"age";"partner";"Ntot";"N_5";"N_10";"Nvac";"val_prevNVtot";"val_prevNV_5";"val_prevNV_10";"val_prevNV_Vac";"val_prevNV_unVac";"val_prevVtot";"val_prevV_5";"val_prevV_10";"val_prevV_Vac";"val_prevV_unVac"
"1";0,5;0,2;1;1;1;1;16;"all";26860;26832;26567;5249;0,0150409530900968;0,0159511031604055;0,0163360560093349;0,0152409982853877;0,0149923649993059;0,0110945644080417;0,0132677400119261;0,0135882862197463;0;0,0137892739808431
"2";0,5;0,2;2;1;1;1;16;"1-3";9374;9433;9456;1883;0,0289097503733732;0,0314852114915721;0,0315143824027073;0,0276155071694105;0,0292350820985182;0,0197354384467677;0,0240644545743666;0,0240059221658206;0;0,0246963022293419
"3";0,5;0,2;3;1;1;1;16;">3";198;190;191;38;0,671717171717172;0,689473684210526;0,712041884816754;0,736842105263158;0,65625;0,570707070707071;0,678947368421053;0,701570680628272;0;0,70625
"4";0,5;0,2;4;1;1;3;18;"all";80300;80299;80271;15900;0,0350435865504359;0,0336616894357339;0,0341717432198428;0,0372327044025157;0,0345031055900621;0,025093399750934;0,0300875477901344;0,0314559429931108;0;0,0312888198757764
"5";0,5;0,2;5;1;1;3;18;"1-3";36555;36646;36918;7378;0,0569826289153331;0,055012825410686;0,0540928544341514;0,0581458389807536;0,0566884875072831;0,0392832717822459;0,0453801233422474;0,0474565252722249;0;0,0492168488878226
"6";0,5;0,2;6;1;1;3;18;">3";1045;1046;1076;209;0,664114832535885;0,611854684512428;0,651486988847584;0,76555023923445;0,638755980861244;0,521531100478469;0,691204588910134;0,680297397769517;0;0,651913875598086
"7";0,5;0,2;7;1;1;5;20;"all";133743;133672;133432;26635;0,0552552283110144;0,0543419713926626;0,0540500029977816;0,0566547775483386;0,0549071964745864;0,0407572732778538;0,0519704949428452;0,0517641944960729;0;0,0508925570452254
"8";0,5;0,2;8;1;1;5;20;"1-3";70822;71043;71270;14185;0,0720256417497388;0,0715341412947088;0,0702118703521818;0,0715544589354952;0,0721436516764659;0,0503515856654712;0,0645383781653365;0,0638978532341799;0;0,0629623744195491
"9";0,5;0,2;9;1;1;5;20;">3";3320;3320;3326;654;0,653915662650602;0,606927710843373;0,617257967528563;0,717125382262997;0,6384096024006;0,540060240963855;0,67078313253012;0,669272399278413;0;0,672543135783946
"10";0,5;0,2;10;1;1;10;25;"all";267091;267104;266398;53141;0,0647644435791547;0,0598568347909429;0,0593135083596724;0,0711691537607497;0,063173638700631;0,0479199973042896;0,0640499580687672;0,0632136877904489;0;0,0598223884085067
