Name;age_min;age_max;decal;anne_min;anne_max;vac;design;genotype;taille_ref;taille_compa;reference;comparaison;Difference;IC_min;IC_max
Chow;15;24;3;3;3;59;Pre/post;V;298;147;26.30872;17;-9.30872;-17.17426183;-1.443178172
Chow;15;24;4;4;4;57;Pre/post;V;298;129;26.30873;18;-8.30873;-16.6122035;-0.005256499
Chow;15;24;5;5;5;36;Pre/post;V;298;117;26.30874;21;-5.30874;-14.22302882;3.605548815
Chow;15;24;6;6;6;44;Pre/post;V;298;140;26.30875;22;-4.30875;-12.79872487;4.181224867
Chow;15;24;7;7;7;47;Pre/post;V;298;180;26.30876;11;-15.30876;-22.08273039;-8.534789606
Covert;13;26;2.4;2;3;59.2;Pre/post;NV;371;409;48.6;58.2;9.6;2.620272426;16.57972757
Covert;13;26;6.5;6;7;71.5;Pre/post;NV;371;400;48.6;45.1;-3.5;-10.54598504;3.545985039
Cummings;14;17;5;5;5;89;Pre/post;V;150;75;16.7;5.3;-11.4;-19.23171462;-3.568285378
Dunne;20;29;5.5;5;6;32;Pre/post;V;4138;4171;8.9;5.2;-3.7;-4.798518604;-2.601481396
Dunne;20;29;5.5;5;6;32;Pre/post;NV;4138;4171;17.5;22.1;4.6;2.88945468;6.31054532
Dunne;20;24;8.5;8;9;64;Pre/post;V;2059;2057;10.6;2.5;-8.1;-9.591070111;-6.608929889
Dunne;20;24;8.5;8;9;64;Pre/post;NV;2059;2057;20.3;25.7;5.4;2.833916724;7.966083276
Dunne;25;29;8.5;8;9;32;Pre/post;V;2420;2081;7.2;4.6;-2.6;-3.967763441;-1.232236559
Dunne;25;29;8.5;8;9;32;Pre/post;NV;2420;2081;14.8;15.7;0.9;-1.208303196;3.008303196
Feiring;17;17;4;4;4;3.8;Pre/post;V;5468;5921;5.1;3.2;-1.9;-2.635532025;-1.164467975
Feiring;17;17;4;4;4;3.8;Pre/post;NV;5468;5921;8;5.6;-2.4;-3.327400118;-1.472599882
Feiring;17;17;5;5;5;77;Pre/post;V;5468;6360;5.1;1.1;-4;-4.63698044;-3.36301956
Feiring;17;17;5;5;5;77;Pre/post;NV;5468;6360;8;4;-4;-4.865465238;-3.134534762
Kahn;13;26;2.6;2;3;59.2;Pre/post;V;368;409;24.2;11;-13.2;-18.52395928;-7.876040724
Kahn;13;26;2.6;2;3;59.2;Pre/post;NV;368;400;47.5;57.8;10.3;3.267342312;17.33265769
Kahn;13;26;6.5;6;7;71.3;Pre/post;V;368;400;24.2;8.1;-16.1;-21.22818144;-10.97181856
Kavanagh;20;21;3;3;3;44.6;Pre/post;V;2709;1001;29.88837;23.3;-6.58837;-9.723675097;-3.453064903
Kavanagh;20;21;4;4;4;75.4;Pre/post;V;2709;993;29.88838;17;-12.88838;-15.79188545;-9.984874548
Kavanagh;20;21;5;5;5;80.5;Pre/post;V;2709;1016;29.88839;10.1;-19.78839;-22.31916835;-17.25761165
Kavanagh;20;21;6;6;6;81.2;Pre/post;V;2709;1019;29.8884;11.5;-18.3884;-20.99771486;-15.77908514
Kavanagh;20;21;7;7;7;88;Pre/post;V;2709;1610;29.88841;4.8;-25.08841;-27.10384627;-23.07297373
Machalek;18;24;4;3;5;87.5;Pre/post;NV;88;688;33;36.5;3.5;-6.962402649;13.96240265
Machalek;18;24;8;8;8;89.5;Pre/post;NV;88;200;33;29.5;-3.5;-15.18195352;8.181953518
Markowitz;14;19;1.25;0;3;34.1;Pre/post;V;1363;740;7.2;3.6;-3.6;-5.519585355;-1.680414645
Markowitz;20;24;1.5;0;3;17.8;Pre/post;V;432;445;15.2;16.2;1;-3.814743225;5.814743225
Markowitz;25;29;1.75;0;3;7.8;Pre/post;V;403;414;8.1;10.3;2.2;-1.758417987;6.158417987
Markowitz;14;19;1.25;0;3;34.1;Pre/post;NV;1363;740;20.7;16.4;-4.3;-7.726970619;-0.873029381
Markowitz;20;24;1.5;0;3;17.8;Pre/post;NV;432;445;32.9;37.4;4.5;-1.812105528;10.81210553
Markowitz;25;29;1.75;0;3;7.8;Pre/post;NV;403;414;24.6;28.4;3.8;-2.24566169;9.84566169
